Name| Lat| Long| Comment| Description
Abandoned Car| 41.7139010131359| -72.8210710175335| Abandoned Car
Abandoned Road| 42.4698890000582| -72.3840550146997| Abandoned Road, trail joins former Macedonia Road
Abandoned Road 2| 42.4990949872881| -72.3652610275894| Abandoned Road, NOBO turn W to join abandoned Rockwood Hill Road
Albany Avenue (US44)| 41.7915239743888| -72.7877609990537| Albany Avenue (US44), Parking| p
Alexander Hill Road 2| 42.6834169775248| -72.4036120064557| Alexander Hill Road, Parking, Powerlines| p
Amherst Road| 42.3889440391213| -72.422253023833| Amherst Road, NOBO turn E on road
Amherst Road and North Valley Road| 42.3900979757309| -72.4206199776381| Amherst Road + North Valley Road, NOBO turn sharp W on road
Amtrak Station| 41.2755910120904| -72.6735650282353| Amtrak Station, Cross with skywalk over tracks
Andrews Sreet| 41.6300601884723| -72.8334628231823| Andrews Street, NOBO turn E on road, then W on Long Bottom Street
Apremont Highway| 42.1847489755601| -72.6671839691699| Apremont Highway, Limited Parking| p
Atherton Brook| 42.4311699718237| -72.400023965165| Atherton Brook, Footbridge| W
Athol-Richmond Road| 42.7158329822123| -72.2558999899775| Athol-Richmond Road, Newton Cemetery, limited parking| p
Atkins Street| 41.5674560051411| -72.7383689582348| Atkins Street, NOBO turn E on road, limited parking on shoulder| p
Atkins Street 2| 41.5726109594107| -72.7390680089593| Atkins Street, NOBO turn W on to trail
Baileyville Road (CT147)| 41.5335829742253| -72.7305089961737| Baileyville Road (CT147), NOBO turn W on road and cross Meriden Road (CT66), New Guida's restaurant (BLD)
Bancroft Memorial| 41.7255960311741| -72.8072770033032| Bancroft Memorial, bench
Bare Mountain| 42.3036350402981| -72.5313839782029| Bare Mountain, Views| v
Barrier| 42.141302973032| -72.6831390056759| Concrete barrier, NOBO continue W along I-90 until tunnel
Bartlett Tower| 41.9027199782431| -72.7640889957547| Bartlett Tower ruins, remnants of 70 ft resort tower built in 1890's
Bass Road| 42.6844249852002| -72.3801399953663| Bass Road
Bay Road| 42.3102060332894| -72.4570520035923| Bay Road, Ropes for steep climb S of road, Limited parking, NOBO turn 500 ft E on road| p
Beach| 42.5054870266467| -72.4356079939753| Beach to W (compass S), Restrooms, Parking| sp
Bench| 41.7222720198333| -72.8110539726913| Bench
Bench 2| 41.8604300078005| -72.7787770237774| Bench
Bench 3| 42.1054880227894| -72.6977339945734| Bench
Berlin Turnpike (US5) and Orchard Road| 41.5975865162909| -72.7547223865986| Berlin Turnpike (US5) and Orchard Road, NOBO cross US5 and turn W on Orchard Road
Berlin Turnpike (US5) and Spruce Brook Road| 41.5992538444698| -72.7539609745145| Berlin Turnpike (US5) and Spruce Brook Road, NOBO turn W, Johnson's Motel and Subway restaurant 0.2E
Black Rock Avenue| 41.6664949804544| -72.8197630215436| Black Rock Avenue, NOBO continue E on road
